time,DNI_W_m2,Ambient_Temp_C,Wind_Speed_mps,Hour,DayOfYear,Thermal_Power_kW,Electrical_Power_kW,Pump_Power_kW
2019-01-01 07:00:00,183.5,22.5,12.3,7,1,60.55500000000001,21.19425,4.204285714285715
2019-01-01 08:00:00,407.9,24.0,15.1,8,1,134.607,47.112449999999995,4.204285714285715
2019-01-01 09:00:00,633.1,24.9,16.0,9,1,208.92300000000003,73.12305,4.204285714285715
2019-01-01 10:00:00,758.7,25.3,15.3,10,1,250.37100000000004,87.62985,4.204285714285715
2019-01-01 11:00:00,829.1,25.8,15.8,11,1,273.603,95.76105,4.204285714285715
2019-01-01 12:00:00,822.3,26.0,16.6,12,1,271.359,94.97564999999999,4.204285714285715
2019-01-01 13:00:00,846.2,26.0,17.1,13,1,279.246,97.7361,4.204285714285715
2019-01-01 14:00:00,811.7,25.9,16.9,14,1,267.861,93.75134999999999,4.204285714285715
2019-01-01 15:00:00,733.7,25.5,17.0,15,1,242.12100000000004,84.74235,4.204285714285715
2019-01-01 16:00:00,633.4,24.9,16.3,16,1,209.02200000000002,73.1577,4.204285714285715
2019-01-01 17:00:00,439.1,23.6,13.1,17,1,144.903,50.716049999999996,4.204285714285715
2019-01-01 18:00:00,26.8,22.6,11.1,18,1,8.844,3.0953999999999997,4.204285714285715
2019-01-02 07:00:00,113.4,23.7,11.5,7,2,37.422,13.097699999999998,4.204285714285715
2019-01-02 08:00:00,314.1,24.9,13.3,8,2,103.65300000000002,36.27855,4.204285714285715
2019-01-02 09:00:00,454.7,25.6,17.3,9,2,150.051,52.517849999999996,4.204285714285715
2019-01-02 10:00:00,690.8,25.9,17.0,10,2,227.96400000000003,79.7874,4.204285714285715
2019-01-02 11:00:00,806.5,26.2,14.7,11,2,266.145,93.15074999999999,4.204285714285715
2019-01-02 12:00:00,794.2,26.4,13.5,12,2,262.086,91.7301,4.204285714285715
2019-01-02 13:00:00,776.2,26.4,13.3,13,2,256.146,89.6511,4.204285714285715
2019-01-02 14:00:00,754.9,26.4,14.0,14,2,249.11700000000002,87.19095,4.204285714285715
2019-01-02 15:00:00,739.9,26.0,13.8,15,2,244.16700000000003,85.45845,4.204285714285715
2019-01-02 16:00:00,635.1,25.5,14.6,16,2,209.58300000000003,73.35405,4.204285714285715
2019-01-02 17:00:00,413.1,24.9,13.1,17,2,136.323,47.71305,4.204285714285715
2019-01-02 18:00:00,26.5,23.7,9.4,18,2,8.745,3.0607499999999996,4.204285714285715
2019-01-03 07:00:00,199.3,23.2,10.2,7,3,65.769,23.01915,4.204285714285715
2019-01-03 08:00:00,448.7,24.9,11.2,8,3,148.071,51.82485,4.204285714285715
2019-01-03 09:00:00,612.9,25.5,10.4,9,3,202.25700000000003,70.78995,4.204285714285715
